dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
7.5mm,1,2,1.0mm,400.0kHz,4.2mm,3.3mm,1.9mm,3.0A,copper_lizt_c_1,14425
7.5mm,1,2,3.0mm,200.0kHz,3.3mm,2.3mm,2.3mm,42.0A,copper_lizt_c_3,14426
17.0mm,1,2,1.5mm,100.0kHz,6.6mm,7.6mm,1.1mm,24.0A,copper_lizt_c_1.5,14427
15.5mm,1,5,1.0mm,100.0kHz,5.7mm,5.2mm,2.7mm,35.0A,copper_lizt_c_1,14428
7.0mm,2,9,1.0mm,100.0kHz,3.1mm,2.6mm,1.9mm,3.0A,copper_lizt_c_1,14429
18.5mm,8,1,1.0mm,400.0kHz,6.1mm,5.6mm,0.3mm,3.0A,copper_lizt_c_1,14430
9.5mm,2,6,1.5mm,300.0kHz,2.9mm,4.4mm,2.1mm,26.0A,copper_lizt_c_1.5,14431
15.5mm,3,4,2.0mm,200.0kHz,8.2mm,7.7mm,2.3mm,44.0A,copper_lizt_c_2,14432
9.0mm,3,4,1.0mm,300.0kHz,3.2mm,2.7mm,1.1mm,8.0A,copper_lizt_c_1,14433
8.5mm,5,1,1.5mm,400.0kHz,4.1mm,5.1mm,2.9mm,27.0A,copper_lizt_c_1.5,14434
8.0mm,8,1,1.0mm,300.0kHz,3.4mm,2.4mm,3.3mm,10.0A,copper_lizt_c_1,14435
6.5mm,2,2,1.5mm,100.0kHz,4.0mm,3.5mm,2.3mm,32.0A,copper_lizt_c_1.5,14436
9.5mm,3,4,1.5mm,200.0kHz,5.4mm,3.9mm,3.3mm,30.0A,copper_lizt_c_1.5,14437
17.5mm,2,2,3.5mm,300.0kHz,7.8mm,6.8mm,0.9mm,39.0A,copper_lizt_c_3.5,14438
13.0mm,4,2,1.0mm,300.0kHz,7.9mm,7.9mm,2.5mm,32.0A,copper_lizt_c_1,14439
16.0mm,4,9,1.0mm,200.0kHz,7.3mm,5.8mm,3.5mm,22.0A,copper_lizt_c_1,14440
10.0mm,1,4,2.0mm,300.0kHz,4.0mm,5.0mm,1.5mm,26.0A,copper_lizt_c_2,14441
18.0mm,2,4,2.0mm,100.0kHz,6.9mm,6.9mm,3.1mm,1.0A,copper_lizt_c_2,14442
5.5mm,4,3,1.0mm,200.0kHz,2.2mm,2.7mm,1.1mm,5.0A,copper_lizt_c_1,14443
8.0mm,3,3,2.5mm,100.0kHz,4.9mm,2.4mm,1.5mm,18.0A,copper_lizt_c_2.5,14444
14.0mm,3,3,1.5mm,300.0kHz,7.2mm,4.2mm,3.7mm,39.0A,copper_lizt_c_1.5,14445
14.5mm,9,7,1.0mm,400.0kHz,6.4mm,5.4mm,2.5mm,1.0A,copper_lizt_c_1,14446
8.5mm,4,5,1.5mm,300.0kHz,4.6mm,5.1mm,3.5mm,39.0A,copper_lizt_c_1.5,14447
15.5mm,4,4,1.5mm,100.0kHz,6.2mm,5.2mm,3.1mm,43.0A,copper_lizt_c_1.5,14448
11.0mm,5,1,1.0mm,400.0kHz,5.8mm,6.8mm,1.1mm,30.0A,copper_lizt_c_1,14449
18.0mm,1,1,2.0mm,400.0kHz,6.4mm,7.9mm,1.9mm,43.0A,copper_lizt_c_2,14450
19.5mm,4,1,1.0mm,300.0kHz,6.4mm,7.9mm,3.7mm,22.0A,copper_lizt_c_1,14451
18.5mm,3,4,1.5mm,300.0kHz,5.6mm,5.6mm,1.5mm,27.0A,copper_lizt_c_1.5,14452
14.0mm,2,2,3.0mm,400.0kHz,5.7mm,7.7mm,3.9mm,13.0A,copper_lizt_c_3,14453
9.0mm,1,1,4.5mm,200.0kHz,3.7mm,3.7mm,2.7mm,24.0A,copper_lizt_c_4.5,14454
10.5mm,1,2,4.5mm,100.0kHz,3.7mm,4.2mm,2.9mm,26.0A,copper_lizt_c_4.5,14455
17.5mm,2,1,3.5mm,300.0kHz,7.8mm,5.3mm,2.7mm,28.0A,copper_lizt_c_3.5,14456
14.5mm,8,5,1.0mm,300.0kHz,5.4mm,7.4mm,2.9mm,2.0A,copper_lizt_c_1,14457
11.0mm,1,2,3.0mm,400.0kHz,4.8mm,5.3mm,1.1mm,4.0A,copper_lizt_c_3,14458
14.5mm,1,2,1.0mm,100.0kHz,5.9mm,4.9mm,1.9mm,1.0A,copper_lizt_c_1,14459
19.0mm,3,6,1.5mm,200.0kHz,5.7mm,6.2mm,2.7mm,1.0A,copper_lizt_c_1.5,14460
18.5mm,1,5,1.5mm,200.0kHz,8.1mm,7.6mm,2.7mm,40.0A,copper_lizt_c_1.5,14461
13.0mm,4,2,1.0mm,200.0kHz,7.9mm,3.9mm,0.3mm,5.0A,copper_lizt_c_1,14462
15.0mm,2,2,4.0mm,200.0kHz,6.0mm,7.0mm,3.9mm,7.0A,copper_lizt_c_4,14463
13.5mm,2,4,2.0mm,300.0kHz,7.6mm,8.1mm,2.3mm,26.0A,copper_lizt_c_2,14464
17.5mm,2,2,3.0mm,200.0kHz,5.8mm,7.8mm,1.7mm,41.0A,copper_lizt_c_3,14465
8.0mm,4,8,1.0mm,200.0kHz,3.4mm,3.9mm,0.7mm,5.0A,copper_lizt_c_1,14466
8.5mm,8,7,1.0mm,200.0kHz,3.1mm,4.6mm,2.5mm,10.0A,copper_lizt_c_1,14467
7.0mm,3,3,2.5mm,200.0kHz,3.1mm,3.6mm,1.9mm,24.0A,copper_lizt_c_2.5,14468
14.0mm,1,2,3.0mm,300.0kHz,4.2mm,6.2mm,0.7mm,1.0A,copper_lizt_c_3,14469
12.0mm,3,4,1.0mm,400.0kHz,3.6mm,7.1mm,3.5mm,22.0A,copper_lizt_c_1,14470
12.0mm,1,2,2.5mm,400.0kHz,6.1mm,5.6mm,1.1mm,20.0A,copper_lizt_c_2.5,14471
11.0mm,1,1,1.0mm,400.0kHz,3.8mm,6.8mm,0.9mm,43.0A,copper_lizt_c_1,14472
11.5mm,3,3,1.5mm,200.0kHz,5.0mm,5.0mm,1.7mm,29.0A,copper_lizt_c_1.5,14473
12.0mm,2,2,2.5mm,200.0kHz,4.1mm,6.6mm,1.3mm,45.0A,copper_lizt_c_2.5,14474
11.0mm,2,1,1.5mm,100.0kHz,3.8mm,6.3mm,0.9mm,21.0A,copper_lizt_c_1.5,14475
14.0mm,1,1,1.0mm,400.0kHz,5.7mm,8.2mm,3.7mm,11.0A,copper_lizt_c_1,14476
14.0mm,5,1,1.0mm,400.0kHz,4.7mm,7.2mm,1.3mm,15.0A,copper_lizt_c_1,14477
15.5mm,2,6,1.0mm,400.0kHz,8.2mm,5.2mm,0.3mm,2.0A,copper_lizt_c_1,14478
16.5mm,1,5,1.5mm,100.0kHz,5.0mm,6.0mm,1.1mm,40.0A,copper_lizt_c_1.5,14479
16.5mm,2,6,1.5mm,400.0kHz,5.5mm,6.0mm,1.3mm,20.0A,copper_lizt_c_1.5,14480
18.5mm,3,5,1.5mm,400.0kHz,7.6mm,7.6mm,3.1mm,19.0A,copper_lizt_c_1.5,14481
11.0mm,1,5,1.0mm,100.0kHz,3.3mm,6.8mm,2.3mm,41.0A,copper_lizt_c_1,14482
12.0mm,7,1,1.0mm,100.0kHz,3.6mm,5.1mm,2.9mm,29.0A,copper_lizt_c_1,14483
13.0mm,3,2,2.5mm,200.0kHz,6.9mm,7.9mm,3.9mm,41.0A,copper_lizt_c_2.5,14484
12.0mm,1,8,1.0mm,400.0kHz,3.6mm,7.1mm,3.5mm,27.0A,copper_lizt_c_1,14485
11.5mm,2,6,1.0mm,300.0kHz,7.0mm,6.5mm,2.1mm,10.0A,copper_lizt_c_1,14486
9.0mm,8,5,1.0mm,300.0kHz,4.2mm,4.2mm,3.7mm,4.0A,copper_lizt_c_1,14487
17.0mm,1,1,4.0mm,200.0kHz,6.1mm,8.1mm,1.7mm,16.0A,copper_lizt_c_4,14488
16.0mm,8,9,1.0mm,200.0kHz,5.3mm,4.8mm,2.5mm,7.0A,copper_lizt_c_1,14489
10.5mm,6,1,1.0mm,100.0kHz,3.2mm,6.2mm,2.9mm,6.0A,copper_lizt_c_1,14490
9.5mm,2,4,1.0mm,300.0kHz,3.4mm,4.9mm,2.5mm,15.0A,copper_lizt_c_1,14491
12.0mm,5,5,1.5mm,200.0kHz,6.1mm,4.6mm,2.9mm,14.0A,copper_lizt_c_1.5,14492
7.0mm,4,3,1.0mm,100.0kHz,3.6mm,2.1mm,1.9mm,4.0A,copper_lizt_c_1,14493
9.0mm,4,1,2.0mm,200.0kHz,4.2mm,3.7mm,0.7mm,10.0A,copper_lizt_c_2,14494
19.0mm,3,3,1.0mm,300.0kHz,8.2mm,8.2mm,2.9mm,12.0A,copper_lizt_c_1,14495
18.0mm,2,2,1.5mm,400.0kHz,7.4mm,7.9mm,2.9mm,16.0A,copper_lizt_c_1.5,14496
9.5mm,4,3,1.0mm,200.0kHz,5.4mm,2.9mm,2.5mm,14.0A,copper_lizt_c_1,14497
12.0mm,1,3,2.0mm,100.0kHz,6.1mm,7.1mm,3.3mm,24.0A,copper_lizt_c_2,14498
15.0mm,3,3,1.0mm,400.0kHz,5.0mm,6.0mm,1.9mm,17.0A,copper_lizt_c_1,14499
9.5mm,3,4,1.0mm,400.0kHz,3.9mm,5.4mm,2.7mm,45.0A,copper_lizt_c_1,14500
12.0mm,4,2,1.0mm,100.0kHz,6.6mm,4.1mm,0.3mm,4.0A,copper_lizt_c_1,14501
17.0mm,1,4,2.0mm,100.0kHz,7.1mm,7.6mm,1.3mm,15.0A,copper_lizt_c_2,14502
15.5mm,1,5,1.0mm,200.0kHz,5.7mm,7.2mm,3.9mm,5.0A,copper_lizt_c_1,14503
9.5mm,2,1,3.0mm,200.0kHz,4.9mm,4.4mm,2.7mm,43.0A,copper_lizt_c_3,14504
13.5mm,4,7,1.0mm,300.0kHz,5.1mm,4.6mm,2.9mm,10.0A,copper_lizt_c_1,14505
13.0mm,6,2,1.5mm,200.0kHz,3.9mm,4.4mm,3.3mm,25.0A,copper_lizt_c_1.5,14506
16.0mm,2,8,1.0mm,200.0kHz,6.3mm,7.3mm,2.9mm,17.0A,copper_lizt_c_1,14507
13.0mm,1,1,1.0mm,300.0kHz,4.4mm,4.4mm,3.5mm,4.0A,copper_lizt_c_1,14508
14.0mm,1,2,1.0mm,200.0kHz,6.7mm,4.2mm,3.3mm,33.0A,copper_lizt_c_1,14509
14.0mm,2,4,1.5mm,300.0kHz,6.7mm,5.7mm,1.1mm,17.0A,copper_lizt_c_1.5,14510
15.5mm,2,2,2.5mm,200.0kHz,6.2mm,4.7mm,2.3mm,15.0A,copper_lizt_c_2.5,14511
6.5mm,2,6,1.0mm,200.0kHz,2.5mm,2.5mm,2.1mm,15.0A,copper_lizt_c_1,14512
11.5mm,1,1,1.0mm,200.0kHz,5.0mm,6.0mm,2.7mm,27.0A,copper_lizt_c_1,14513
16.0mm,1,1,2.0mm,300.0kHz,5.3mm,5.3mm,1.1mm,16.0A,copper_lizt_c_2,14514
16.5mm,1,3,2.5mm,300.0kHz,8.0mm,8.0mm,3.9mm,13.0A,copper_lizt_c_2.5,14515
18.0mm,6,2,1.5mm,100.0kHz,6.9mm,7.9mm,2.3mm,43.0A,copper_lizt_c_1.5,14516
8.5mm,6,5,1.5mm,100.0kHz,5.1mm,2.6mm,3.5mm,1.0A,copper_lizt_c_1.5,14517
9.5mm,2,1,3.5mm,200.0kHz,4.4mm,3.4mm,0.9mm,43.0A,copper_lizt_c_3.5,14518
18.0mm,9,3,1.0mm,200.0kHz,5.4mm,5.9mm,3.9mm,29.0A,copper_lizt_c_1,14519
9.0mm,5,1,1.0mm,100.0kHz,4.7mm,5.2mm,3.5mm,28.0A,copper_lizt_c_1,14520
11.5mm,3,1,2.0mm,200.0kHz,5.0mm,4.0mm,3.5mm,47.0A,copper_lizt_c_2,14521
8.0mm,6,4,1.5mm,400.0kHz,3.9mm,3.4mm,1.5mm,13.0A,copper_lizt_c_1.5,14522
16.5mm,3,2,2.0mm,100.0kHz,6.0mm,5.0mm,3.5mm,20.0A,copper_lizt_c_2,14523
17.0mm,4,6,1.0mm,200.0kHz,6.6mm,8.1mm,3.5mm,10.0A,copper_lizt_c_1,14524
8.5mm,3,7,1.0mm,100.0kHz,3.6mm,4.1mm,2.9mm,9.0A,copper_lizt_c_1,14525
11.5mm,2,2,3.5mm,100.0kHz,5.5mm,7.0mm,2.9mm,7.0A,copper_lizt_c_3.5,14526
17.0mm,1,2,3.0mm,300.0kHz,6.1mm,7.6mm,0.9mm,43.0A,copper_lizt_c_3,14527
10.5mm,2,3,3.0mm,200.0kHz,5.7mm,4.2mm,3.3mm,27.0A,copper_lizt_c_3,14528
11.5mm,2,2,2.0mm,200.0kHz,6.5mm,6.0mm,3.5mm,13.0A,copper_lizt_c_2,14529
13.0mm,3,9,1.0mm,400.0kHz,3.9mm,6.4mm,2.5mm,13.0A,copper_lizt_c_1,14530
17.0mm,2,3,1.5mm,300.0kHz,5.6mm,8.1mm,1.9mm,46.0A,copper_lizt_c_1.5,14531
13.5mm,5,1,1.5mm,300.0kHz,5.1mm,6.1mm,3.1mm,24.0A,copper_lizt_c_1.5,14532
11.0mm,4,5,1.0mm,200.0kHz,6.8mm,6.3mm,2.9mm,14.0A,copper_lizt_c_1,14533
19.5mm,1,3,3.0mm,300.0kHz,5.9mm,7.4mm,2.5mm,32.0A,copper_lizt_c_3,14534
15.5mm,1,1,3.0mm,400.0kHz,5.7mm,6.2mm,2.3mm,31.0A,copper_lizt_c_3,14535
9.0mm,6,5,1.0mm,100.0kHz,3.2mm,3.7mm,3.1mm,22.0A,copper_lizt_c_1,14536
13.0mm,2,1,4.0mm,200.0kHz,5.9mm,6.9mm,3.9mm,6.0A,copper_lizt_c_4,14537
14.5mm,3,4,2.0mm,100.0kHz,6.4mm,7.9mm,3.3mm,47.0A,copper_lizt_c_2,14538
7.0mm,1,2,2.5mm,400.0kHz,4.1mm,3.6mm,1.9mm,36.0A,copper_lizt_c_2.5,14539
15.0mm,8,2,1.0mm,400.0kHz,6.0mm,7.0mm,3.9mm,49.0A,copper_lizt_c_1,14540
12.0mm,1,1,2.0mm,100.0kHz,4.1mm,4.6mm,3.3mm,30.0A,copper_lizt_c_2,14541
13.5mm,3,1,2.5mm,100.0kHz,6.6mm,6.1mm,1.1mm,10.0A,copper_lizt_c_2.5,14542
12.0mm,3,2,2.0mm,100.0kHz,5.1mm,4.6mm,2.7mm,28.0A,copper_lizt_c_2,14543
14.0mm,2,1,1.0mm,400.0kHz,6.2mm,7.7mm,3.1mm,14.0A,copper_lizt_c_1,14544
19.5mm,2,1,4.5mm,200.0kHz,5.9mm,7.4mm,1.7mm,29.0A,copper_lizt_c_4.5,14545
18.0mm,2,2,3.5mm,300.0kHz,6.9mm,6.9mm,2.1mm,47.0A,copper_lizt_c_3.5,14546
13.0mm,1,3,2.5mm,200.0kHz,6.9mm,6.4mm,1.3mm,18.0A,copper_lizt_c_2.5,14547
16.0mm,3,6,1.5mm,100.0kHz,5.8mm,5.8mm,2.5mm,8.0A,copper_lizt_c_1.5,14548
11.0mm,1,4,1.5mm,100.0kHz,5.3mm,5.8mm,1.9mm,18.0A,copper_lizt_c_1.5,14549
18.0mm,6,2,1.0mm,100.0kHz,5.4mm,6.4mm,3.9mm,45.0A,copper_lizt_c_1,14550
9.5mm,1,1,1.5mm,400.0kHz,4.4mm,2.9mm,3.3mm,3.0A,copper_lizt_c_1.5,14551
14.5mm,1,1,2.0mm,100.0kHz,6.9mm,5.9mm,1.1mm,15.0A,copper_lizt_c_2,14552
18.0mm,3,3,1.0mm,200.0kHz,6.4mm,5.9mm,1.1mm,26.0A,copper_lizt_c_1,14553
11.0mm,1,3,3.0mm,100.0kHz,4.3mm,6.3mm,2.1mm,28.0A,copper_lizt_c_3,14554
11.0mm,1,1,1.0mm,100.0kHz,3.3mm,4.3mm,1.9mm,49.0A,copper_lizt_c_1,14555
16.5mm,1,4,1.0mm,100.0kHz,7.0mm,7.0mm,1.5mm,41.0A,copper_lizt_c_1,14556
14.5mm,1,5,1.0mm,400.0kHz,5.9mm,7.4mm,1.7mm,48.0A,copper_lizt_c_1,14557
11.5mm,1,4,1.0mm,400.0kHz,3.5mm,5.5mm,3.5mm,43.0A,copper_lizt_c_1,14558
15.5mm,2,2,4.0mm,100.0kHz,5.2mm,7.2mm,2.9mm,40.0A,copper_lizt_c_4,14559
13.0mm,2,2,3.5mm,200.0kHz,5.4mm,7.9mm,1.1mm,44.0A,copper_lizt_c_3.5,14560
13.0mm,3,2,3.0mm,100.0kHz,6.9mm,5.9mm,3.1mm,35.0A,copper_lizt_c_3,14561
13.0mm,2,4,1.5mm,400.0kHz,5.9mm,7.9mm,3.5mm,3.0A,copper_lizt_c_1.5,14562
11.5mm,2,4,1.0mm,100.0kHz,4.5mm,3.5mm,1.9mm,5.0A,copper_lizt_c_1,14563
5.0mm,1,3,3.0mm,300.0kHz,1.5mm,2.0mm,1.1mm,4.0A,copper_lizt_c_3,14564
15.0mm,1,4,1.0mm,400.0kHz,7.0mm,7.5mm,2.9mm,38.0A,copper_lizt_c_1,14565
12.5mm,2,2,4.0mm,400.0kHz,6.2mm,4.2mm,2.9mm,27.0A,copper_lizt_c_4,14566
13.0mm,2,1,1.5mm,200.0kHz,6.9mm,6.9mm,0.3mm,5.0A,copper_lizt_c_1.5,14567
16.5mm,1,2,3.0mm,300.0kHz,6.0mm,5.5mm,1.5mm,10.0A,copper_lizt_c_3,14568
9.5mm,6,8,1.0mm,100.0kHz,3.9mm,4.9mm,3.5mm,2.0A,copper_lizt_c_1,14569
14.0mm,1,1,2.0mm,200.0kHz,4.2mm,6.7mm,3.3mm,33.0A,copper_lizt_c_2,14570
16.0mm,2,4,1.5mm,100.0kHz,5.3mm,7.8mm,2.7mm,1.0A,copper_lizt_c_1.5,14571
8.5mm,9,6,1.0mm,100.0kHz,2.6mm,4.1mm,1.9mm,1.0A,copper_lizt_c_1,14572
12.0mm,6,5,1.0mm,300.0kHz,4.1mm,6.6mm,3.3mm,16.0A,copper_lizt_c_1,14573
19.0mm,2,2,2.0mm,100.0kHz,7.7mm,7.7mm,0.9mm,45.0A,copper_lizt_c_2,14574
13.0mm,5,1,1.0mm,200.0kHz,7.4mm,5.9mm,1.3mm,32.0A,copper_lizt_c_1,14575
10.0mm,1,1,1.5mm,200.0kHz,3.5mm,4.0mm,0.7mm,20.0A,copper_lizt_c_1.5,14576
12.5mm,1,8,1.0mm,400.0kHz,4.8mm,6.2mm,0.9mm,14.0A,copper_lizt_c_1,14577
6.5mm,9,2,1.0mm,100.0kHz,4.0mm,3.5mm,3.1mm,24.0A,copper_lizt_c_1,14578
15.0mm,3,4,1.5mm,400.0kHz,8.0mm,6.5mm,1.7mm,6.0A,copper_lizt_c_1.5,14579
10.0mm,1,6,1.0mm,400.0kHz,4.5mm,6.0mm,1.1mm,41.0A,copper_lizt_c_1,14580
18.0mm,6,1,1.0mm,400.0kHz,5.4mm,5.4mm,2.5mm,4.0A,copper_lizt_c_1,14581
13.5mm,4,1,1.5mm,300.0kHz,7.6mm,5.1mm,3.9mm,20.0A,copper_lizt_c_1.5,14582
15.0mm,3,3,2.0mm,300.0kHz,6.0mm,6.5mm,1.1mm,19.0A,copper_lizt_c_2,14583
9.5mm,2,6,1.0mm,400.0kHz,5.9mm,5.9mm,3.5mm,20.0A,copper_lizt_c_1,14584
10.0mm,3,1,2.5mm,300.0kHz,4.0mm,4.5mm,2.5mm,48.0A,copper_lizt_c_2.5,14585
13.5mm,2,4,2.0mm,300.0kHz,6.1mm,7.6mm,2.7mm,32.0A,copper_lizt_c_2,14586
15.5mm,1,3,1.5mm,100.0kHz,4.7mm,7.7mm,2.7mm,35.0A,copper_lizt_c_1.5,14587
8.5mm,4,4,2.0mm,100.0kHz,3.1mm,4.6mm,3.1mm,23.0A,copper_lizt_c_2,14588
11.0mm,1,4,2.0mm,300.0kHz,3.8mm,4.3mm,0.7mm,10.0A,copper_lizt_c_2,14589
7.0mm,3,1,1.0mm,400.0kHz,3.6mm,3.6mm,3.3mm,5.0A,copper_lizt_c_1,14590
13.0mm,5,9,1.0mm,100.0kHz,6.4mm,5.9mm,1.3mm,6.0A,copper_lizt_c_1,14591
19.0mm,4,1,2.0mm,100.0kHz,8.2mm,6.2mm,0.7mm,16.0A,copper_lizt_c_2,14592
8.5mm,3,3,1.5mm,100.0kHz,2.6mm,3.1mm,1.1mm,17.0A,copper_lizt_c_1.5,14593
12.0mm,7,1,1.0mm,300.0kHz,7.1mm,4.6mm,3.3mm,26.0A,copper_lizt_c_1,14594
10.0mm,7,4,1.0mm,300.0kHz,3.0mm,5.0mm,1.5mm,5.0A,copper_lizt_c_1,14595
9.5mm,3,3,1.5mm,200.0kHz,3.4mm,5.9mm,2.5mm,44.0A,copper_lizt_c_1.5,14596
6.0mm,1,2,1.5mm,200.0kHz,2.3mm,2.3mm,3.1mm,13.0A,copper_lizt_c_1.5,14597
11.0mm,3,1,1.5mm,400.0kHz,3.3mm,3.3mm,2.7mm,19.0A,copper_lizt_c_1.5,14598
11.5mm,4,3,1.0mm,400.0kHz,5.5mm,7.0mm,3.9mm,15.0A,copper_lizt_c_1,14599
11.5mm,2,2,3.0mm,200.0kHz,3.5mm,5.5mm,1.3mm,34.0A,copper_lizt_c_3,14600
17.0mm,3,1,2.5mm,400.0kHz,6.1mm,5.1mm,3.3mm,12.0A,copper_lizt_c_2.5,14601
19.0mm,3,4,2.0mm,200.0kHz,6.7mm,6.2mm,3.7mm,36.0A,copper_lizt_c_2,14602
15.0mm,5,6,1.5mm,200.0kHz,5.0mm,6.0mm,3.5mm,27.0A,copper_lizt_c_1.5,14603
18.5mm,2,1,3.5mm,200.0kHz,5.6mm,5.6mm,2.1mm,18.0A,copper_lizt_c_3.5,14604
13.0mm,1,1,3.0mm,200.0kHz,4.9mm,6.4mm,3.7mm,21.0A,copper_lizt_c_3,14605
8.0mm,7,2,1.0mm,200.0kHz,2.9mm,3.9mm,2.3mm,14.0A,copper_lizt_c_1,14606
17.5mm,3,3,2.5mm,200.0kHz,6.3mm,5.8mm,2.3mm,10.0A,copper_lizt_c_2.5,14607
16.0mm,4,1,1.5mm,100.0kHz,7.3mm,5.8mm,3.7mm,33.0A,copper_lizt_c_1.5,14608
18.0mm,6,5,1.5mm,300.0kHz,5.9mm,6.4mm,3.1mm,14.0A,copper_lizt_c_1.5,14609
12.5mm,1,2,2.5mm,100.0kHz,6.7mm,5.2mm,1.3mm,6.0A,copper_lizt_c_2.5,14610
9.0mm,7,7,1.0mm,300.0kHz,3.2mm,3.2mm,3.3mm,4.0A,copper_lizt_c_1,14611
16.0mm,1,2,1.0mm,300.0kHz,4.8mm,6.3mm,1.3mm,3.0A,copper_lizt_c_1,14612
15.5mm,3,3,1.0mm,400.0kHz,6.2mm,5.2mm,2.5mm,45.0A,copper_lizt_c_1,14613
8.5mm,3,6,1.5mm,400.0kHz,3.6mm,3.1mm,2.9mm,11.0A,copper_lizt_c_1.5,14614
14.0mm,8,4,1.0mm,400.0kHz,8.2mm,5.2mm,2.9mm,8.0A,copper_lizt_c_1,14615
11.0mm,4,2,2.0mm,100.0kHz,5.3mm,3.8mm,1.3mm,6.0A,copper_lizt_c_2,14616
9.5mm,2,2,4.0mm,100.0kHz,3.9mm,2.9mm,3.1mm,47.0A,copper_lizt_c_4,14617
18.0mm,2,3,1.5mm,300.0kHz,5.4mm,6.4mm,0.9mm,34.0A,copper_lizt_c_1.5,14618
13.5mm,1,2,1.5mm,400.0kHz,7.1mm,5.6mm,0.7mm,29.0A,copper_lizt_c_1.5,14619
18.5mm,1,4,1.0mm,200.0kHz,6.6mm,6.6mm,2.9mm,44.0A,copper_lizt_c_1,14620
6.5mm,2,5,1.0mm,200.0kHz,3.0mm,3.5mm,1.7mm,32.0A,copper_lizt_c_1,14621
13.0mm,1,1,2.0mm,100.0kHz,5.4mm,6.4mm,2.9mm,37.0A,copper_lizt_c_2,14622
11.0mm,1,1,4.0mm,300.0kHz,5.3mm,6.3mm,2.1mm,10.0A,copper_lizt_c_4,14623
8.0mm,2,5,1.5mm,300.0kHz,2.9mm,2.9mm,2.1mm,21.0A,copper_lizt_c_1.5,14624
12.5mm,3,6,1.0mm,300.0kHz,4.2mm,6.7mm,3.5mm,41.0A,copper_lizt_c_1,14625
16.5mm,4,3,2.0mm,200.0kHz,5.0mm,5.5mm,2.3mm,10.0A,copper_lizt_c_2,14626
11.0mm,1,7,1.0mm,100.0kHz,6.8mm,3.3mm,2.9mm,47.0A,copper_lizt_c_1,14627
11.5mm,3,2,1.0mm,100.0kHz,7.0mm,5.0mm,3.7mm,46.0A,copper_lizt_c_1,14628
13.0mm,7,7,1.0mm,100.0kHz,7.9mm,7.4mm,2.3mm,8.0A,copper_lizt_c_1,14629
13.5mm,1,1,1.5mm,100.0kHz,4.1mm,4.6mm,3.5mm,14.0A,copper_lizt_c_1.5,14630
17.0mm,1,2,4.0mm,300.0kHz,7.1mm,7.6mm,1.7mm,43.0A,copper_lizt_c_4,14631
13.0mm,5,2,1.5mm,100.0kHz,4.4mm,7.4mm,0.9mm,7.0A,copper_lizt_c_1.5,14632
11.5mm,4,2,1.0mm,100.0kHz,6.5mm,4.5mm,2.1mm,14.0A,copper_lizt_c_1,14633
7.5mm,6,8,1.0mm,300.0kHz,3.8mm,3.3mm,1.5mm,7.0A,copper_lizt_c_1,14634
13.5mm,6,3,1.0mm,200.0kHz,6.1mm,4.6mm,3.7mm,31.0A,copper_lizt_c_1,14635
17.0mm,2,2,2.0mm,200.0kHz,5.6mm,5.6mm,2.7mm,19.0A,copper_lizt_c_2,14636
15.0mm,2,3,2.0mm,200.0kHz,7.5mm,6.0mm,1.7mm,4.0A,copper_lizt_c_2,14637
7.5mm,6,1,1.5mm,100.0kHz,2.3mm,3.3mm,2.5mm,20.0A,copper_lizt_c_1.5,14638
13.5mm,1,1,4.5mm,300.0kHz,7.6mm,5.6mm,1.3mm,26.0A,copper_lizt_c_4.5,14639
13.0mm,2,2,3.0mm,200.0kHz,4.4mm,7.9mm,3.1mm,9.0A,copper_lizt_c_3,14640
11.5mm,1,1,2.0mm,400.0kHz,5.5mm,3.5mm,0.7mm,46.0A,copper_lizt_c_2,14641
11.5mm,2,3,2.0mm,300.0kHz,6.5mm,7.0mm,1.7mm,9.0A,copper_lizt_c_2,14642
8.5mm,3,2,2.5mm,200.0kHz,2.6mm,2.6mm,0.1mm,3.0A,copper_lizt_c_2.5,14643
14.5mm,3,1,1.5mm,300.0kHz,6.9mm,4.4mm,2.5mm,3.0A,copper_lizt_c_1.5,14644
5.5mm,1,6,1.5mm,400.0kHz,2.7mm,3.2mm,2.3mm,14.0A,copper_lizt_c_1.5,14645
12.5mm,3,2,2.5mm,300.0kHz,6.2mm,5.2mm,1.1mm,41.0A,copper_lizt_c_2.5,14646
11.5mm,4,8,1.0mm,200.0kHz,6.5mm,4.5mm,3.3mm,9.0A,copper_lizt_c_1,14647
9.5mm,5,2,1.5mm,100.0kHz,4.4mm,2.9mm,2.5mm,16.0A,copper_lizt_c_1.5,14648
10.0mm,4,5,1.0mm,100.0kHz,3.5mm,6.0mm,2.5mm,5.0A,copper_lizt_c_1,14649
17.5mm,1,1,1.5mm,400.0kHz,7.3mm,7.8mm,3.5mm,26.0A,copper_lizt_c_1.5,14650
15.5mm,1,2,2.5mm,100.0kHz,4.7mm,4.7mm,2.3mm,21.0A,copper_lizt_c_2.5,14651
11.0mm,1,3,1.0mm,300.0kHz,3.8mm,6.8mm,3.3mm,39.0A,copper_lizt_c_1,14652
17.5mm,1,1,2.0mm,100.0kHz,6.3mm,5.3mm,1.1mm,27.0A,copper_lizt_c_2,14653
19.5mm,1,3,1.0mm,300.0kHz,6.9mm,5.9mm,3.9mm,30.0A,copper_lizt_c_1,14654
